stock_id,date,predict_proba_up,prediction_percent,prediction_signal,screen_category
3037,2026-07-09,0.5612539813112629,56.13,預測上漲,保守觀察
2002,2026-07-09,0.5605936379497921,56.06,預測上漲,保守觀察
3711,2026-07-09,0.5418241243534347,54.18,預測上漲,保守觀察
2395,2026-07-09,0.5307313715443405,53.07,預測上漲,保守觀察
2408,2026-07-09,0.5307009277880369,53.07,預測上漲,保守觀察
2303,2026-07-09,0.523750937394403,52.38,預測上漲,保守觀察
2610,2026-07-09,0.5193773160645289,51.94,預測上漲,一般觀察
3008,2026-07-09,0.5158626819472288,51.59,預測上漲,一般觀察
6208,2026-07-09,0.5137633931546234,51.38,預測上漲,一般觀察
2317,2026-07-09,0.513090607326673,51.31,預測上漲,一般觀察
6669,2026-07-09,0.5116473336632008,51.16,預測上漲,一般觀察
2324,2026-07-09,0.5075797030261894,50.76,預測上漲,一般觀察
2882,2026-07-09,0.506188092967418,50.62,預測上漲,一般觀察
2382,2026-07-09,0.5040844501829324,50.41,預測上漲,一般觀察
3231,2026-07-09,0.5030975890525805,50.31,預測上漲,一般觀察
2886,2026-07-09,0.5028004800321604,50.28,預測上漲,一般觀察
2609,2026-07-09,0.501490847757932,50.15,預測上漲,一般觀察
50,2026-07-09,0.5011888681196965,50.12,預測上漲,一般觀察
1303,2026-07-09,0.5005688627952296,50.06,預測上漲,一般觀察
2618,2026-07-09,0.4997981867229171,49.98,預測下跌或持平,一般觀察
2376,2026-07-09,0.4986269113156844,49.86,預測下跌或持平,一般觀察
2412,2026-07-09,0.4983161772486676,49.83,預測下跌或持平,一般觀察
878,2026-07-09,0.4960611805991444,49.61,預測下跌或持平,一般觀察
2308,2026-07-09,0.4954847522385973,49.55,預測下跌或持平,一般觀察
2884,2026-07-09,0.4950731582152274,49.51,預測下跌或持平,一般觀察
2603,2026-07-09,0.4948377859611002,49.48,預測下跌或持平,一般觀察
2891,2026-07-09,0.4948332289558652,49.48,預測下跌或持平,一般觀察
56,2026-07-09,0.494714107157814,49.47,預測下跌或持平,一般觀察
2353,2026-07-09,0.4943621691158882,49.44,預測下跌或持平,一般觀察
919,2026-07-09,0.4939709802644667,49.4,預測下跌或持平,一般觀察
1216,2026-07-09,0.4907305492955825,49.07,預測下跌或持平,一般觀察
4938,2026-07-09,0.4907002725967994,49.07,預測下跌或持平,一般觀察
3017,2026-07-09,0.4905134005614562,49.05,預測下跌或持平,一般觀察
2330,2026-07-09,0.4879492370610895,48.79,預測下跌或持平,一般觀察
1301,2026-07-09,0.4798053811080704,47.98,預測下跌或持平,風險偏高
2881,2026-07-09,0.4794423969989702,47.94,預測下跌或持平,風險偏高
1101,2026-07-09,0.479228830920706,47.92,預測下跌或持平,風險偏高
2615,2026-07-09,0.4693796834513565,46.94,預測下跌或持平,風險偏高
2357,2026-07-09,0.467616073524559,46.76,預測下跌或持平,風險偏高
2454,2026-07-09,0.4535803250706261,45.36,預測下跌或持平,風險偏高
